,T,Sigma,r
135,13339328.795474319,837.14991541449706,1.9800892833418109
136,13731615.751446836,858.04517254754728,1.9800892833418109
137,14123902.707419354,877.21644107204281,1.9800892833418109
138,14516189.663391873,894.46560114038709,1.9800892833418109
139,14908476.619364390,909.57536113917081,1.9800892833418109
140,15300763.575336909,922.30561867368147,1.9800892833418109
141,15693050.531309428,932.38884305782915,1.9800892833418109
142,16085337.487281943,939.52412459244249,1.9800892833418109
143,16869911.399226978,943.53087160044834,1.9800892833418109
144,17262198.355199497,939.54901926327898,1.9800892833418109
145,17654485.311172016,930.87826499121513,1.9800892833418109
146,18439059.223117054,896.66941142619874,1.9800892833418109
147,19223633.135062087,833.26145614775919,1.9800892833418109
148,20008207.047007125,726.78920961225720,1.9800892833418109
149,20400494.002979644,648.75623084927884,1.9800892833418109
150,786146.20435374288,9.9461391596524145,2.0627687752661221
151,1178433.1603262606,22.520929966430618,2.0627687752661221
152,1570720.1162987782,38.581280051561670,2.0627687752661221
153,1963007.0722712961,57.143867800424395,2.0627687752661221
154,2355294.0282438137,77.635926064354607,2.0627687752661221
155,2747580.9842163310,99.730448317058503,2.0627687752661221
156,3139867.9401888489,123.22148024671047,2.0627687752661221
157,3532154.8961613667,147.95984403098561,2.0627687752661221
158,3924441.8521338841,173.82360413657017,2.0627687752661221
159,4316728.8081064010,200.70466613970410,2.0627687752661221
160,4709015.7640789198,228.50243925113838,2.0627687752661221
161,5101302.7200514376,257.12060034157952,2.0627687752661221
162,5493589.6760239555,286.46526460619043,2.0627687752661221
163,5885876.6319964742,316.44382564145673,2.0627687752661221
164,6278163.5879689921,346.96413229542731,2.0627687752661221
165,6670450.5439415099,377.93384440088346,2.0627687752661221
166,7062737.4999140287,409.25988744602881,2.0627687752661221
167,7455024.4558865465,440.84796229570173,2.0627687752661221
168,7847311.4118590644,472.60208337022794,2.0627687752661221
169,8239598.3678315822,504.42412721980924,2.0627687752661221
170,8631885.3238041010,536.21337765226497,2.0627687752661221
171,9024172.2797766197,567.86605551591970,2.0627687752661221
172,9416459.2357491367,599.27482185190502,2.0627687752661221
173,9808746.1917216554,630.32824284116828,2.0627687752661221
174,10201033.147694174,660.91020395202588,2.0627687752661221
175,10593320.103666691,690.89925896860495,2.0627687752661221
176,10985607.059639210,720.16789707269652,2.0627687752661221
177,11377894.015611727,748.58170769592493,2.0627687752661221
178,11770180.971584246,775.99841819050641,2.0627687752661221
179,12162467.927556764,802.26677309067202,2.0627687752661221
180,12554754.883529281,827.22521527715082,2.0627687752661221
181,12947041.839501800,850.70031787236871,2.0627687752661221
182,13339328.795474319,872.50489994244128,2.0627687752661221
183,13731615.751446836,892.43573720522079,2.0627687752661221
184,14123902.707419354,910.27074811232967,2.0627687752661221
185,14516189.663391873,925.76549149444111,2.0627687752661221
186,14908476.619364390,938.64874746091846,2.0627687752661221
187,15300763.575336909,948.61685708579034,2.0627687752661221
188,15693050.531309428,955.32634962835391,2.0627687752661221
189,16085337.487281943,958.38415592380147,2.0627687752661221
190,16477624.443254462,957.33433472546631,2.0627687752661221
191,16869911.399226978,951.63961660451832,2.0627687752661221
192,17262198.355199497,940.65498615393199,2.0627687752661221
193,17654485.311172016,923.58854351952857,2.0627687752661221
194,18046772.267144535,899.44106005473361,2.0627687752661221
195,19223633.135062087,768.76217039560072,2.0627687752661221
196,20400494.002979644,463.33217473023302,2.0627687752661221
