,T,Sigma,r
0,193580.27207002928,0.33759153709163137,1.8147302994931884
1,232257.61042962116,0.51376148065204119,1.8147302994931884
2,270934.94878921297,0.73178834698884687,1.8147302994931884
3,309612.28714880481,0.99292211227949223,1.8147302994931884
4,348289.62550839671,1.2980512018515282,1.8147302994931884
5,386966.96386798855,1.6477577643319470,1.8147302994931884
6,425644.30222758040,2.0423605800664704,1.8147302994931884
7,464321.64058717224,2.4819500736817184,1.8147302994931884
8,502998.97894676414,2.9664179755042124,1.8147302994931884
9,541676.31730635592,3.4954831543529301,1.8147302994931884
10,580353.65566594782,4.0687145663924600,1.8147302994931884
11,619030.99402553961,4.6855519221844677,1.8147302994931884
12,657708.33238513151,5.3453244637342054,1.8147302994931884
13,696385.67074472341,6.0472681110093989,1.8147302994931884
14,735063.00910431519,6.7905411530700661,1.8147302994931884
15,773740.34746390709,7.5742386050924653,1.8147302994931884
16,812417.68582349888,8.3974053186073636,1.8147302994931884
17,851095.02418309078,9.2590479115046858,1.8147302994931884
18,889772.36254268256,10.158145572433302,1.8147302994931884
19,928449.70090227446,11.093659788177446,1.8147302994931884
20,967127.03926186624,12.064543040417691,1.8147302994931884
21,1005804.3776214583,13.069746518508474,1.8147302994931884
22,1044481.7159810500,14.108226896525998,1.8147302994931884
23,1083159.0543406419,15.178952225094079,1.8147302994931884
24,1121836.3927002337,16.280906990878972,1.8147302994931884
25,1160513.7310598255,17.413096398763031,1.8147302994931884
26,1199191.0694194175,18.574549933357186,1.8147302994931884
27,1237868.4077790093,19.764324257504406,1.8147302994931884
28,1276545.7461386011,20.981505505738436,1.8147302994931884
29,1315223.0844981931,22.225211030240917,1.8147302994931884
30,1353900.4228577849,23.494590655751015,1.8147302994931884
31,1392577.7612173767,24.788827498153569,1.8147302994931884
32,1431255.0995769685,26.107138399224624,1.8147302994931884
33,1469932.4379365605,27.448774027301965,1.8147302994931884
34,1508609.7762961523,28.813018690600504,1.8147302994931884
35,1547287.1146557441,30.199189906596196,1.8147302994931884
36,1585964.4530153358,31.606637767435071,1.8147302994931884
37,1624641.7913749279,33.034744137809383,1.8147302994931884
38,1663319.1297345196,34.482921718197730,1.8147302994931884
39,1701996.4680941114,35.950613002922424,1.8147302994931884
40,1740673.8064537034,37.437289159112701,1.8147302994931884
41,1779351.1448132952,38.942448849497254,1.8147302994931884
42,1818028.4831728870,40.465617018930963,1.8147302994931884
43,1856705.8215324788,42.006343661796436,1.8147302994931884
44,1895383.1598920708,43.564202584837588,1.8147302994931884
45,1934060.4982516626,45.138790177662138,1.8147302994931884
46,1972737.8366112544,46.729724201038209,1.8147302994931884
47,2011415.1749708464,48.336642601231297,1.8147302994931884
48,2050092.5133304386,49.959202356957462,1.8147302994931884
49,2088769.8516900307,51.597078364067379,1.8147302994931884
50,2127447.1900496227,53.249962361802552,1.8147302994931884
51,2166124.5284092147,54.917561903364195,1.8147302994931884
52,2204801.8667688067,56.599599372599812,1.8147302994931884
53,2243479.2051283987,58.295811047815235,1.8147302994931884
54,2282156.5434879907,60.005946213059765,1.8147302994931884
55,2320833.8818475828,61.729766316681506,1.8147302994931884
56,2359511.2202071752,63.467044176503236,1.8147302994931884
